PRO_REFERENCIA;PRO_DESCRICAO;PRO_MARCA;PRO_PRECO;PRO_UNIDADE;PRO_REFERENCIAFOR;PRO_PESO;PRO_CLASSIFICACAO;PRO_BARRA;PRO_ESTOQUE
00002;TACA BISTRO CHAMPAGNE 185ML CX-24;CISPER;116,880000;CX/24;TW916-30 - 12008419;4,200000;7013.28.00;7891017001875;26.737,000000
00004;TACA BISTRO VINHO TINTO 260ML CX-24;CISPER;116,880000;CX/24;TW913-30 - 12008420;3,912000;7013.28.00;7891017001820;14.868,000000
00005;TACA BISTRO AGUA 300ML CX-24;CISPER;116,880000;CX/24;TW914-30 - 12008418;46,632000;7013.28.00;7891017001806;95.082,000000
00011;TACA PREMIERE CHAMPAGNE 180ML CX-12;CISPER;66,720000;CX/12;TW946-40 - 10028262;2,196000;7013.28.00;7891017003923;4.413,000000
00013;TACA PREMIERE VINHO TINTO 310ML CX-12;CISPER;66,720000;CX/12;TW943-40 - 10028268;2,580000;7013.28.00;7891017003060;2.832,000000
00014;TACA PREMIERE AGUA 385ML CX-12;CISPER;57,360000;CX/12;TW944-40 - 10028265;2,796000;7013.28.00;7891017003053;6.888,000000
00019;COPO CHOPP PILSENER 200ML;CISPER;69,600000;CX/24;TW228-30 - 10028145;4,824000;7013.37.00;7891017002049;76.941,000000
00020;COPO CHOPP PILSENER 300ML CX-24;CISPER;115,920000;CX/24;TW328-30 - 10028102;5,976000;7013.37.00;7891017000106;5.328,000000
00021;COPO PREMIERE PILSENER 300ML CX-12;CISPER;98,520000;CX/12;TW948-40 - 10028255;2,724000;7013.37.00;7891017004661;636,000000
00022;TACA CHOPP HANNOVER 300ML CX-24;CISPER;150,000000;CX/24;TW925-30 - 10027838;4,656000;7013.28.00;7891017001868;24,000000
00023;COPO CALDERETA 350ML CX-12;CISPER;57,475100;CX/12;TW506-40 - 10027999;2,880000;7013.37.00;7891017004197;3.589,000000
00029;TACA STYLO VINHO 190ML CX-24;CISPER;102,960000;CX/24;TW801-30 - 10027943;3,600000;7013.28.00;7891017000250;3.264,000000
00030;TACA STYLO AGUA 260ML CX-24;CISPER;76,560000;CX/24;TW802-30 - 10027940;4,272000;7013.28.00;7891017000236;12.256,000000
00034;TACA STYLO SOBREMESA 205ML CX-24;CISPER;110,133600;CX/24;TW805-30 - 10027934;4,221600;7013.49.00;7891017001042;5.808,000000
00035;CONJ C/6 TACAS STYLO SOBREMESA 205ML;CISPER;30,080000;CJ;TW805-23 - 10027935;1,124000;7013.49.00;7891017001035;351,000000
00049;COPO LIVERPOOL LONG DRINK 310ML CX-24;CISPER;68,400000;CX/24;TW405-30 - 10028053;5,424000;7013.37.00;7891017000137;1.400,000000
00052;COPO ACCENT LONG DRINK 360ML CX-24;CISPER;105,120000;CX/24;TW376-30 - 10028086;4,860000;7013.37.00;7891017000045;1.945,000000
00053;COPO ACCENT ROCKS 270ML CX-24;CISPER;105,120000;CX/24;TW374-30 - 10028090;4,680000;7013.37.00;7891017000021;2.598,000000
00068;COPO MONTEREY LONG DRINK 440ML CX-24;CISPER;95,280000;CX/24;TW342-30 - 10028093;6,216000;7013.37.00;7891017004159;8.354,000000
00069;COPO MONTEREY SUCO 295ML CX-24;CISPER;122,160000;CX/24;TW341-30 - 10028096;5,304000;7013.37.00;7891017004968;456,000000
00070;COPO MONTEREY ROCKS 250ML CX-24;CISPER;136,800000;CX/24;TW340-30 - 10028099;6,264000;7013.37.00;7891017004098;1.632,000000
00073;TIGELA FIESTA SOBREMESA 270ML CX-24;CISPER;89,837800;CX/24;TW736-30 - 10027957;3,657600;7013.49.00;7891017000564;2.173,000000
00074;CONJ C/6 TIGELAS FIESTA SOBREMESA 270ML CX-06;CISPER;24,880000;CJ;TW736-23 - 10027958;,901500;7013.49.00;7891017000144;130,000000
00075;COPO ELEGANCE COQUETEL 350ML CX-12;CISPER;78,954200;CX/12;TW502-40 - 10028007;3,264000;7013.37.00;7891017004227;1.644,000000
00077;COPO ELEGANCE DOSE 90ML CX-24;CISPER;97,439800;CX/24;TW500-30 - 10028013;2,760000;7013.37.00;7891017004210;1.421,000000
00079;COPO MANHATTAN LONG DRINK 330ML CX-24;CISPER;103,920000;CX/24;TW613-30 - 10027973;6,000000;7013.37.00;7891017000991;3.457,000000
00080;COPO MANHATTAN SUCO 200ML CX-24;CISPER;112,080000;CX/24;TW611-30 - 10027979;5,280000;7013.37.00;7891017001028;3.216,000000
00081;COPO MANHATTAN ROCKS 318ML CX-24;CISPER;116,400000;CX/24;TW612-30 - 10027976;7,176000;7013.37.00;7891017001011;5.256,000000
00096;COPO MUNDIAL CHOPP 300ML CX-24;CIV;42,000000;CX/24;TW223-30 - 10029076;5,592000;7013.37.00;7891017000151;6.576,000000
00097;COPO MUNDIAL CHOPP 200ML;CIV;27,600000;CX/24;TW222-30 - 10029087;3,432000;7013.37.00;7891017002261;21.912,000000
00114;CONJ C/6 COPOS MULTIUSO FLORIDA 310ML CX-06;CIV;75,660000;CX/06;TW392-23 - 10028076;7,452000;7013.37.00;7891017002322;1.842,000000
00128;JARRA NOBILE PEQ. 700ML;CIV;82,680000;CX/12;TW110-40 - 10029090;7,149600;7013.42.90;7891017000472;10.800,000000
00129;JARRA NOBILE 1,5LTS. CX-06;CIV;52,800000;CX/06;TW152-50 - 10029094;5,262000;7013.42.90;7891017000595;2.886,000000
00151;CINZEIRO CRISTAL EIROS 80X30MM  CX-24;CISPER;54,480000;CX/24;TW021-30 - 10028371;2,880000;7013.99.00;7891017000328;2.160,000000
00178;COPO PARIS LONG DRINK 351ML CX-12;CISPER;74,400000;CX/12;TW905-40 - 10027872;3,528000;7013.37.00;7891017013052;420,000000
00179;COPO PARIS ROCKS 315ML CX-12;CISPER;68,711400;CX/12;TW904-40 - 10027875;3,816000;7013.37.00;7891017013045;324,000000
00180;COPO ELEGANCE LONG DRINK 450ML CX-12;CISPER;65,361500;CX/12;TW501-40 - 10028010;3,276000;7013.37.00;7891017005828;624,000000
00182;TACA PREMIERE SOBREMESA 480ML CX-12;CISPER;91,200000;CX/12;TW949-40 - 10028252;3,216000;7013.49.00;7891017005712;1.574,000000
00210;TACA PREMIERE GRAN VINO 590ML CX-12;CISPER;94,080000;CX/12;TW947-40 - 10028259;3,384000;7013.28.00;7891017005729;8,000000
00216;COPO MULTIUSO FLORIDA 300ML CX-24;CIV;47,280000;CX/24;TW392-30 - 10028075;5,016000;7013.37.00;7891017002926;13.752,000000
00284;CANECA MANHATTAN 370ML CX-12;CISPER;83,880000;CX/12;TW727-40 - 10025245;6,500000;7013.37.00;7891017013823;,000000
00293;COPO BELLIZE CRISTAL LONG DRINK 450ML CX-12;CISPER;42,960000;CX/12;TW885-40 - 10027901;2,700000;7013.37.00;7891017015148;14.030,000000
00294;COPO BELLIZE CRISTAL ROCKS 345ML CX-12;CISPER;53,280000;CX/12;TW884-40 - 10027903;2,580000;7013.37.00;7891017015131;761,000000
00295;COPO ROMA LONG DRINK 335ML CX-12;CISPER;71,493000;CX/12;TW903-40 - 10027878;3,564000;7013.37.00;7891017013038;444,000000
00296;COPO ROMA ROCKS 259ML CX-12;CISPER;85,680000;CX/12;TW902-40 - 10027880;3,888000;7013.37.00;7891017013021;205,000000
00301;COPO AMERICANO 190ML;NADIR FIGUEIRED;20,160000;CX/24;102010188;2,472000;7013.37.00;7891550036631;341.111,000000
00309;COPO BAR APERITIVO CANINHA 100ML CX-24;NADIR FIGUEIRED;65,507300;CX/24;30330100636480;3,480000;7013.37.00;7891155002536;5.448,000000
00342;JARRA LISA CRISTAL 1,5 LTS CX-06;CIV;50,400000;CX/06;TW151-50 - 10030599;5,202000;7013.42.90;7891017008522;260,000000
00348;TIGELA P/ MISTURAR PLUS ASTRAL 3LTS CX-06;NADIR FIGUEIRED;144,960000;CX/06;SM400030803;6,378000;7013.49.00;7894993031232;2.695,000000
00351;ASSADEIRA RETANGULAR GRANDE 2,9 LTS CX-06;NADIR FIGUEIRED;170,940000;CX/06;GD16536417N;10,932000;7013.49.00;049932653649;816,000000
00352;ASSADEIRA RETANGULAR MEDIA 2,2 LTS CX-06;NADIR FIGUEIRED;161,400000;CX/06;GD16534019N;8,142000;7013.49.00;049932653441;944,000000
00353;ASSADEIRA RETANGULAR PEQUENA 1,6 LTS CX-06;NADIR FIGUEIRED;136,168200;CX/06;GD16532011N;5,826000;7013.49.00;049932653243;5.628,000000
00354;ASSADEIRA QUADRADA 1,8 LTS  CX-06;NADIR FIGUEIRED;115,200000;CX/06;GD16222010N;6,426000;7013.49.00;049932622249;6.000,000000
00355;ASSADEIRA OVAL GRANDE 4 LTS CX-06;NADIR FIGUEIRED;216,120000;CX/06;GD16664419N;11,406000;7013.49.00;049932666441;211,000000
00356;ASSADEIRA OVAL MEDIA 3,2 LTS CX-06;NADIR FIGUEIRED;173,160000;CX/06;GD16662010N;8,850000;7013.49.00;049932666243;414,000000
00357;ASSADEIRA OVAL 2,4 LTS CX-06;NADIR FIGUEIRED;152,820000;CX/06;GD16345016N;6,360000;7013.49.00;049932634549;1.307,000000
